ID,Hotel Name,Review
0,fairmontdallas,"the with floor bathroom was damaged and the tub was cracked at dallas fairmont. there was no lotion in the bottle, which appears no housekeeping service. the entire room is deplorable. not luxury hotel"
1,fairmontdallas,"very disappointing experience starting with clearness to not working coffee machine no service no replenishment of bath/towels/coffee pads. 40 minutes wait for breakfast. dirty windows, carpets... smell at the room, service of the staff, housekeeper and front desk.."
2,fairmontdallas,"the fairmont dallas is a good hotel, but not a grand hotel. while i was there, i found the dinner menu to be average, presented on a simple document. there is a lot of construction going on. when i checked in at the front desk, no one mentioned the construction. it was noisy during the day."
3,fairmontdallas,spend the extra money to make sure you have a window that opens! i didn't love being in the recycle air with no windows to open. the staff here is amazing though. the parking lot across the street is 12$ a night vs the 50$ a night for valet and it was safe and easy!
4,fairmontdallas,sal was outdoing and friendly. which was refreshing on a cloudy day. i don’t drive downtown so was on edge. his friendly demeanour was relaxing. it is nice to see a smiling face these days as most people just do their job and go home with out interesting with others.
5,fairmontdallas,"every staff member gave exceptional service. however, the accommodations need major improving and upbraiding to match the staff members' level. the to remote didn't work upon arrival, and it took two replacement to get it right. the room temperature was very difficult to regulate. the room odor was very reminiscence of a hotel. the bed linens have seen better days. doesn't have the fairmont ""look"" and ""feel,"" and that's evident no matter how much you dim the lighting."
6,fairmontdallas,"the people are what have made this different from other conferences.  they are friendly and open.  staff has been fantastic also; knowledgeable, friendly, and professional.  information is relevant and timely."
7,fairmontdallas,overpriced food and drinks. hotel very outdated. not worth the money at all. room service prices are outrageous for what you get. way room many surchurges just to eat and or drink at the hotel. worse experience. and it was always freezing in the hotel. uncomfortable!
8,fairmontdallas,"although, i'm a hilton honors member .... i'm totally in love w/ this hotel! the bathroom are private, not made of glass, and provides total privacy.  this hotel is definitely a 5-star!! also, to my surprise, smoking is allowed on their terrace, there's also a beautiful pool w/ lots of lounging furniture, and the terrace wraps around the hotel to take in all of the views! i will definitely return ... thanks ""fairmount dallas"""
9,fairmontdallas,"worst fairmont experience i've ever had. room was not ready at 3 p.m. check-in time; had to sit in the lobby for almost 2 hours to wait. after i got to my room, the thermostat wouldn't work to regulate the temperature in my room; front desk/guess services promised 5 times to send engineering, and the best they could do was send a housekeeper to deliver a blanket! they also promised me a portable theater, which never did appear. the bathroom door was warped with peeling paint and wallpaper peeling off the wall above the toilet. front desk staff continued to assure me they would fix the heat, were fully booked, couldn't move me nor walk me to another hotel. no manager-on-duty to take my call or talk with me at check-out. this hotel does not deserve to be called part of the fairmont"
10,magnoliahoteldallasdowntown,"so our room had a water draining issue and grand took care of us. we went upstairs to great food with hare & our bartender alfred was the absolute best bartender ever, made this drink from his heart ❤️"
11,magnoliahoteldallasdowntown,came to dallas with a muddy on a sports weekend. the hotel was included in our package. central to a point to the american airline center and at&t stadium.  however the rooms are extremely small. maids service was poor. beds sheets never got changed once in 4 days. they only made the beds 2 of 4 days. bathroom never got cleaned just towels replaced. garage never taken out. the lounge is ok when it’s not booked for private party’s. 3 out 4 nights it was closed.
12,magnoliahoteldallasdowntown,"at the exact time as check-in they had all the streets in and around the hotel shut down for 3-4 hours for a parade. although the hotel had no control over this i can not believe they did not send out an email to all the guests that would be at the hotel for that day to warn them. we were stuck in that traffic for hours and had to end up parking in a parking garage a block away and walking in.  thankful this ended up only costing $10 to leave overnight on a saturday night vs the hotels valet that $35!!! so, i highly recommend parking in that garage (by vs) and walking across the street for the $10 plus then you don’t have to wait the 30-45 minutes our friends did for their car.  the room is fine but i certainly would not classify this as a luxury or 4-5 star hotel.  the"
13,magnoliahoteldallasdowntown,"sophia was amazing! she knows how to take care of business in such a professional manner. i was blown away by the customer service and my overall experience there. well done, y'all have a tremendous employee."
14,magnoliahoteldallasdowntown,"great location across central expressly from sum. we usually stay here in dallas. it’s always friendly and easy. nice bar next to lobby. colonies at pm. breakfast to order now. eyelid and flex waited on us this morning. couldn’t have been better. used to have a breakfast buffets, which was a little handed. rooms are nice, comfortable and well appointed. just what i want."
